id,Label,total_relevance,pageviews
186,Football Federation of Ukraine,50,1575
188,Bloc Yulia Tymoshenko,50,1383
189,Solidarity (Ukraine),48,1683
190,Borys Kolesnykov,48,30
191,2010 UkrainianâRussian Naval Base for Gas treaty,79,221
192,Education in Ukraine,56,4080
193,"Ukrainian Village, Chicago",50,2585
194,Mariupol,100,6480
195,Bohdan Khmelnytskyi,84,6333
196,Filaret (Denysenko),64,1089
197,Ukrselena,57,2028
198,Leonid Kravchuk,54,2977
199,Ukrainian Sich Riflemen,52,594
200,History of Poland,157,18182
202,National Guard of Ukraine,63,2864
203,Romanization of Ukrainian,54,2035
204,Ukrainian Democratic Alliance for Reform,46,1895
205,Chernobyl disaster,61,358744
206,Ukrainian architecture,56,1106
207,2015 Ukrainian presidential election,67,625
208,Polish population transfers (1944?1946),61,1755
209,Polish population transfers (1944â1946),61,1755
210,Mykola Azarov,52,1484
213,Ukrainian State,50,3991
214,Ivan Krypiakevych,45,96
215,Transnistria,118,62382
216,Commonwealth of Independent States,84,75714
217,Sloboda Ukraine,67,2441
218,2004 Ukrainian presidential election,65,262
219,Eastern Ukraine,60,2501
221,Ukrainian folk music,44,788
222,First Azarov Government,42,292
223,Higher education in Ukraine,43,1181
224,RT (TV network),203,242518
225,Kuban Cossacks,109,5850
226,Novorossiya (confederation),76,8413
227,Ruthenians,57,10839
228,Kolomyia,41,2120
229,RussiaâNATO relations,300,6042
230,Little Russia,99,3151
231,Ivan Mazepa,64,3426
232,Oleh Tsarov,55,109
233,Opposition Bloc,45,4712
234,List of Ukrainian rulers,44,1867
235,Executed Renaissance,42,686
239,Ems Ukaz,68,539
241,George Shevelov,48,277
242,Central Rada,44,286
243,Boryspil International Airport,40,14516
249,Army of the South-East,99,220
250,Former Soviet Republics,93,37268
251,Ukraine International Airlines,41,16466
255,Barszcz,85,43160
256,Southern Ukraine,48,892
260,Zhytomyr,46,4726
267,Sevastopol,98,30876
268,Kresy,57,5112
269,Ruthenia,53,10723
