id,Label,total_relevance,pageviews
0,Ukrainia,572,185
1,Ukraine,571,320373
2,War in Donbass,674,77510
3,RussiaâUkraine relations,681,12557
4,Ukrainian language,475,35751
5,Russification of Ukraine,698,752
6,2014 Russian aggression against Ukraine,756,43531
7,Yulia Tymoshenko,392,27884
8,UkraineâEuropean Union relations,353,11048
11,Ukraine's accession to NATO,385,5856
12,Ukrainisation,321,1749
13,Viktor Yanukovych,331,32737
14,Economy of Ukraine,268,15014
15,Armed Forces of Ukraine,257,13508
16,Ukrainian Soviet Socialist Republic,275,34659
17,2013 Ukraine protests,278,26467
18,Volhynian tragedy,218,8531
19,Ukrainian history,290,20175
20,Modern history of Ukraine,275,2315
21,2014 Russian annexation of Crimea,583,66718
22,RussiaâUkraine gas disputes,298,4375
23,2014 pro-Russian conflict in Ukraine,390,9380
24,PolishâUkrainian War,209,5712
25,Ukrainian people,229,19993
27,Holodomor,204,82042
28,Ukrainian Canadians,192,4212
29,Autocephaly of the Orthodox Church of Ukraine,213,1535
30,Russians in Ukraine,349,3258
31,Ukrainian Greek Catholic Church in the Soviet Union,208,132
32,UkraineâEuropean Union Association Agreement,233,6617
33,Petro Poroshenko,209,47664
34,Russian language in Ukraine,307,2875
35,Organisation of Ukrainian Nationalists,162,5339
36,Ukrainian Insurgent Army,162,11839
37,LwÃ³w,165,37872
38,PolishâSoviet War,314,20633
39,Anti-Ukrainian,199,3296
40,Ukrainians in Russia,238,2996
41,Bukovina,159,11024
42,Volodymyr Zelensky,216,259755
43,Ukrainian nobility of Galicia,146,418
44,West Ukrainian National Republic,154,4764
46,Malaysia Airlines Flight 17,295,63889
47,Ukrainian diaspora,155,3821
48,2014 Ukrainian revolution,204,33188
49,Orthodox Church of Ukraine,155,5943
50,Demographics of Ukraine,149,10574
51,Religion in Ukraine,148,5311
52,Svoboda (political party),144,6037
53,President of Ukraine,128,73029
54,Stepan Bandera,141,12598
55,Viktor Yuschenko,157,17846
58,Donetsk People's Republic,242,28495
59,Ukrainian Greek Catholic Church,140,9538
60,Kharkov,145,30369
61,Criminal cases against Yulia Tymoshenko since 2010,133,1637
62,Legislation on languages in Ukraine,139,409
63,Kyiv,156,84096
64,Ukrainian War of Independence,137,4040
65,Ukrainian nationalists,115,2623
66,2010 Ukrainian presidential election,111,3548
67,History of the Jews in Ukraine,124,8587
68,Party of Regions,119,4870
69,History of Lviv,108,1850
70,Donbass,184,14745
71,UkrainianâSoviet War,119,2798
73,Fall of the USSR,179,80323
74,Dissolution of Soviet Union,179,253
75,Freedom of the press in Ukraine,137,939
76,Law of Ukraine,98,1240
77,Nestor Makhno,125,13595
78,Communist Party of Ukraine,108,3058
79,Ukrainian Army,106,813
80,Symon Petliura,113,3407
81,Rodnovery,291,3149
82,Security Service of Ukraine,114,4633
83,Corruption in Ukraine,95,5059
84,Ukrainian anthem,95,26
85,Carpathian Ruthenia,107,8656
86,Ruslana,96,3287
88,Arseniy Yatsenyuk,115,4566
89,Western Ukraine,106,3716
90,Verkhovna Rada,94,19244
91,Zakarpattia Oblast,105,6730
92,Culture of Ukraine,96,3925
93,Luhansk People's Republic,144,14757
94,2014 Crimean status referendum,179,7719
95,Ukrainian citizenship,94,782
96,Ukrainian Premier League,92,14282
97,Soviet famine of 1932?33,102,12602
98,Soviet famine of 1932â33,102,13959
99,Ukrainian Defense Industry (company),85,197
100,"All-Ukrainian Union ""Fatherland""",90,9747
101,All the Russias,269,386
102,Protestants in Ukraine,91,88
103,Naftogaz,100,1547
104,Holodomor in modern politics,93,537
105,Ukrainian People's Republic,106,9164
106,Rinat Akhmetov,98,9926
107,2008 Ukrainian parliamentary election,81,2779
108,Free Territory,97,10777
109,Vladimir Putin,426,305094
110,Oleksandr Turchynov,91,6081
111,Mikheil Saakashvili,91,11099
112,Dnipropetrovsk,117,16218
113,Name of Ukraine,83,7510
114,"Declaration of Ukrainian Independence, 1941",71,600
115,2018 MoscowâConstantinople schism,151,7731
116,Minsk agreements,129,8643
117,Ukrainian Orthodox Church (Moscow Patriarchate),100,3543
118,Collectivization in the Ukrainian Soviet Socialist Republic,70,593
119,Political status of Crimea,131,8475
120,Black Sea Fleet,204,7020
121,Republic of Crimea,174,18877
122,Ukrainian Autocephalous Orthodox Church,79,1168
123,Bandura,77,2877
124,Orange Revolution,78,10959
125,Odesa,118,50800
126,Nadiya Savchenko,124,3489
127,Treaty of Warsaw (1920),75,840
128,Act Zluky,64,617
129,Communist Party (Bolsheviks) of Ukraine,92,1595
130,Taras Shevchenko,83,7253
131,FC Dynamo Kyiv,67,26601
132,Volodymyr Semynozhenko,62,215
133,Crimean Peninsula,164,98967
134,Natural gas in Ukraine,89,1274
135,Ukrainian alphabet,75,10317
136,Our UkraineâPeople's Self-Defense Bloc,63,980
137,National University of Kyiv-Mohyla Academy,71,1795
138,Ministry of Defense of Ukraine,66,56
139,Political parties in Ukraine,63,1949
140,Mykhailo Hrushevsky,69,1652
141,Ukrainian Orthodox Church â Kyiv Patriarchate,68,650
142,Vitali Klitschko,62,50762
143,Donetsk,86,18395
144,History of Poland (1939â1945),82,9931
146,Ukrainophone,70,196
147,Cossack Hetmanate,125,8764
148,Mykolaiv,83,5944
149,Nikita Khrushchev,78,105651
150,Denial of the Holodomor,69,4300
151,FC Shakhtar Donetsk,63,63772
152,Shakhtar Donetsk,63,2383
153,History of the Ukrainians in Baltimore,59,233
154,Cossacks,233,70575
155,Nuclear weapons and Ukraine,78,4591
156,Ukrainian cooperative movement,57,340
157,RussiaâUnited States relations,453,17338
