id,Label,total_relevance,pageviews
0,Ukrainia,572,173
1,Ukraine,571,259346
2,War in Donbass,674,79062
3,RussiaâUkraine relations,681,7754
4,Ukrainian language,475,40111
5,Russification of Ukraine,698,775
6,2014 Russian aggression against Ukraine,756,43325
7,Yulia Tymoshenko,392,22161
8,UkraineâEuropean Union relations,353,1915
11,Ukraine's accession to NATO,385,4007
12,Ukrainisation,321,1535
13,Viktor Yanukovych,331,22620
14,Economy of Ukraine,268,13854
15,Armed Forces of Ukraine,257,14085
16,Ukrainian Soviet Socialist Republic,275,26359
17,2013 Ukraine protests,278,25833
18,Volhynian tragedy,218,7998
19,Ukrainian history,290,14137
20,Modern history of Ukraine,275,1888
21,2014 Russian annexation of Crimea,583,67994
22,RussiaâUkraine gas disputes,298,3056
23,2014 pro-Russian conflict in Ukraine,390,12622
24,PolishâUkrainian War,209,4615
25,Ukrainian people,229,18405
27,Holodomor,204,84115
28,Ukrainian Canadians,192,4593
30,Russians in Ukraine,349,3153
32,UkraineâEuropean Union Association Agreement,233,6619
33,Petro Poroshenko,209,23891
34,Russian language in Ukraine,307,2625
35,Organisation of Ukrainian Nationalists,162,4576
36,Ukrainian Insurgent Army,162,10571
37,LwÃ³w,165,40469
38,PolishâSoviet War,314,20946
39,Anti-Ukrainian,199,2180
40,Ukrainians in Russia,238,2773
41,Bukovina,159,10791
43,Ukrainian nobility of Galicia,146,511
44,West Ukrainian National Republic,154,4611
46,Malaysia Airlines Flight 17,295,216609
47,Ukrainian diaspora,155,3257
48,2014 Ukrainian revolution,204,25142
49,Orthodox Church of Ukraine,155,11
50,Demographics of Ukraine,149,11082
51,Religion in Ukraine,148,6567
52,Svoboda (political party),144,5650
53,President of Ukraine,128,7969
54,Stepan Bandera,141,11369
55,Viktor Yuschenko,157,15142
58,Donetsk People's Republic,242,33736
59,Ukrainian Greek Catholic Church,140,8539
60,Kharkov,145,26015
61,Criminal cases against Yulia Tymoshenko since 2010,133,488
62,Legislation on languages in Ukraine,139,414
63,Kyiv,156,158719
64,Ukrainian War of Independence,137,4223
65,Ukrainian nationalists,115,2366
66,2010 Ukrainian presidential election,111,99
67,History of the Jews in Ukraine,124,6096
68,Party of Regions,119,4174
69,History of Lviv,108,1418
70,Donbass,184,14882
71,UkrainianâSoviet War,119,2767
73,Fall of the USSR,179,88999
74,Dissolution of Soviet Union,179,60
75,Freedom of the press in Ukraine,137,709
76,Law of Ukraine,98,1313
77,Nestor Makhno,125,14013
78,Communist Party of Ukraine,108,3040
79,Ukrainian Army,106,610
80,Symon Petliura,113,5003
81,Rodnovery,291,3242
82,Security Service of Ukraine,114,6169
83,Corruption in Ukraine,95,2293
84,Ukrainian anthem,95,18
85,Carpathian Ruthenia,107,9402
86,Ruslana,96,11238
88,Arseniy Yatsenyuk,115,4375
89,Western Ukraine,106,2993
90,Verkhovna Rada,94,9916
91,Zakarpattia Oblast,105,9070
92,Culture of Ukraine,96,4543
93,Luhansk People's Republic,144,15365
94,2014 Crimean status referendum,179,151
95,Ukrainian citizenship,94,552
96,Ukrainian Premier League,92,20364
97,Soviet famine of 1932?33,102,15076
98,Soviet famine of 1932â33,102,16782
99,Ukrainian Defense Industry (company),85,202
100,"All-Ukrainian Union ""Fatherland""",90,6485
101,All the Russias,269,420
102,Protestants in Ukraine,91,145
103,Naftogaz,100,1220
104,Holodomor in modern politics,93,687
105,Ukrainian People's Republic,106,9644
106,Rinat Akhmetov,98,7408
107,2008 Ukrainian parliamentary election,81,294
108,Free Territory,97,8898
109,Vladimir Putin,426,397920
110,Oleksandr Turchynov,91,6085
111,Mikheil Saakashvili,91,12705
112,Dnipropetrovsk,117,16998
113,Name of Ukraine,83,4255
114,"Declaration of Ukrainian Independence, 1941",71,704
116,Minsk agreements,129,9324
